"","scale","interval_score","dispersion","underprediction","overprediction","coverage_deviation","bias","ae_median","coverage_50","coverage_95"
"1","log",0.111,0.039,0.058,0.015,0.311,-0.096,0.184,0.871,0.982
"2","natural",0.381,0.121,0.224,0.036,0.311,-0.096,0.62,0.871,0.982
