"","crps_natural","crps_log","model","rep"
"1",0.855796961265604,0.216928274517654,"full-model",1
"2",0.852489317117785,0.216021268852191,"full-model",2
"3",0.858435846755654,0.217871937506776,"full-model",3
"4",0.855779474935113,0.217051471605858,"full-model",4
"5",0.854884663107156,0.216694588152202,"full-model",5
"6",0.856155533011989,0.217269518816475,"full-model",6
"7",0.853982457854406,0.216400080087145,"full-model",7
"8",0.853521933963663,0.216162377967515,"full-model",8
"9",0.854494196774194,0.216717593724112,"full-model",9
"10",0.860090001619083,0.218655965011853,"full-model",10
"11",0.858747406056112,0.216584266080634,"without-nino",1
"12",0.852871752379187,0.215098211148456,"without-nino",2
"13",0.858667046261278,0.216881715742744,"without-nino",3
"14",0.858848513088617,0.216754612473981,"without-nino",4
"15",0.860807703139291,0.217250774187638,"without-nino",5
"16",0.856858230329996,0.216027433963669,"without-nino",6
"17",0.860016987652948,0.21673786450905,"without-nino",7
"18",0.862552829872698,0.217548648877317,"without-nino",8
"19",0.85702667584971,0.216162364827121,"without-nino",9
"20",0.858929723890743,0.216483166931113,"without-nino",10
"21",0.858631441910765,0.218368267087287,"without-spi",1
"22",0.858206695006798,0.2183851534295,"without-spi",2
"23",0.857848250352243,0.218123056136777,"without-spi",3
"24",0.862436807798789,0.220002184863586,"without-spi",4
"25",0.856402818353726,0.218283596579738,"without-spi",5
"26",0.85848122710419,0.218449565921582,"without-spi",6
"27",0.857258699270795,0.217901237725057,"without-spi",7
"28",0.853021092312446,0.217003730342788,"without-spi",8
"29",0.862317938845631,0.219135800169527,"without-spi",9
"30",0.85827501785935,0.218396651183698,"without-spi",10
"31",0.861660515832406,0.218597528897232,"without-tas",1
"32",0.858180447979236,0.218403601340104,"without-tas",2
"33",0.858320284006921,0.217373118832217,"without-tas",3
"34",0.860514718291929,0.218188806882871,"without-tas",4
"35",0.85633149600791,0.217126297069274,"without-tas",5
"36",0.854043672141886,0.216492686006633,"without-tas",6
"37",0.856862649524163,0.217380133583353,"without-tas",7
"38",0.858394718094179,0.217957751779946,"without-tas",8
"39",0.859572657397108,0.21860767309442,"without-tas",9
"40",0.857108818823384,0.217302862932513,"without-tas",10
"41",0.86362806534421,0.219838875627844,"without-hurs",1
"42",0.864544671585713,0.219859357681273,"without-hurs",2
"43",0.860715122951427,0.218469092368477,"without-hurs",3
"44",0.860830187331603,0.218835898074079,"without-hurs",4
"45",0.862406552923001,0.219102260069841,"without-hurs",5
"46",0.86135233403782,0.218786459009275,"without-hurs",6
"47",0.859744802719071,0.218548676075134,"without-hurs",7
"48",0.859454985984427,0.218373517546286,"without-hurs",8
"49",0.863608150043258,0.219439147938115,"without-hurs",9
"50",0.871025707872945,0.221699512994865,"without-hurs",10
"51",0.851608962946484,0.215614104088475,"without-sus",1
"52",0.850686717538005,0.215458438128678,"without-sus",2
"53",0.85469034790508,0.217175835298415,"without-sus",3
"54",0.853068625806452,0.21632060867214,"without-sus",4
"55",0.857110110208874,0.217257555708691,"without-sus",5
"56",0.852380920504264,0.21600426975242,"without-sus",6
"57",0.859321824261525,0.217967581169677,"without-sus",7
"58",0.856149147138796,0.217512396405083,"without-sus",8
"59",0.855544572191324,0.216896491297913,"without-sus",9
"60",0.858205621802002,0.217793967801876,"without-sus",10
"61",0.921489373662094,0.246427994606217,"without-foi",1
"62",0.928554448794957,0.248580088040911,"without-foi",2
"63",0.922048667062168,0.24677657298333,"without-foi",3
"64",0.932280318848103,0.249584157592773,"without-foi",4
"65",0.924547509961686,0.247079672640334,"without-foi",5
"66",0.923927770559881,0.247032784310771,"without-foi",6
"67",0.921777083784452,0.246167307276327,"without-foi",7
"68",0.924163547188234,0.247024684659706,"without-foi",8
"69",0.92404444937585,0.247166593657538,"without-foi",9
"70",0.921673461104931,0.246531728760422,"without-foi",10
"71",0.923387666493635,0.246586119951029,"climate-only",1
"72",0.922526536509702,0.246601624284049,"climate-only",2
"73",0.923311903485354,0.247069643433454,"climate-only",3
"74",0.922017742813002,0.246309613997015,"climate-only",4
"75",0.922290939018663,0.246770682669334,"climate-only",5
"76",0.924963152131999,0.247140894418015,"climate-only",6
"77",0.92476168571252,0.247365094358388,"climate-only",7
"78",0.92716085084662,0.247863110715578,"climate-only",8
"79",0.920271479965394,0.245662480928467,"climate-only",9
"80",0.923902752465703,0.246787006119965,"climate-only",10
"81",0.871137356371277,0.220432896447783,"mechanistic-only",1
"82",0.866783385564207,0.218938464131365,"mechanistic-only",2
"83",0.867009103608948,0.219365598937368,"mechanistic-only",3
"84",0.868478080373254,0.219721653442027,"mechanistic-only",4
"85",0.872664019824496,0.220812265638854,"mechanistic-only",5
"86",0.870062169348659,0.220061601264288,"mechanistic-only",6
"87",0.869772378086763,0.219959910822597,"mechanistic-only",7
"88",0.869086937498455,0.219874982469639,"mechanistic-only",8
"89",0.869792756445433,0.21993358239612,"mechanistic-only",9
"90",0.876927196527005,0.222463509504554,"mechanistic-only",10
"91",0.952167701347176,0.258244544998758,"baseline",1
"92",0.953226358348783,0.258208957222584,"baseline",2
"93",0.949468206476332,0.257154947129145,"baseline",3
"94",0.954414323507601,0.258852775263259,"baseline",4
"95",0.954059159498208,0.258782537615934,"baseline",5
"96",0.951709115980719,0.257898385606737,"baseline",6
"97",0.954789335879372,0.25924889522655,"baseline",7
"98",0.954428411642566,0.25892902164748,"baseline",8
"99",0.952208755753306,0.257902874680049,"baseline",9
"100",0.949933110567297,0.257458080969134,"baseline",10
