"","scale","interval_score","dispersion","underprediction","overprediction","coverage_deviation","bias","ae_median","coverage_50","coverage_95"
"1","log",0.111,0.039,0.057,0.015,0.311,-0.093,0.183,0.872,0.983
"2","natural",0.376,0.122,0.217,0.037,0.311,-0.093,0.613,0.872,0.983
