"","scale","interval_score","dispersion","underprediction","overprediction","coverage_deviation","bias","ae_median","coverage_50","coverage_95"
"1","log",0.114,0.039,0.062,0.014,0.309,-0.102,0.189,0.867,0.981
"2","natural",0.396,0.125,0.234,0.038,0.309,-0.102,0.639,0.867,0.981
