"","scale","interval_score","dispersion","underprediction","overprediction","coverage_deviation","bias","ae_median","coverage_50","coverage_95"
"1","log",0.11,0.039,0.057,0.015,0.312,-0.094,0.183,0.873,0.982
"2","natural",0.375,0.122,0.217,0.036,0.312,-0.094,0.61,0.873,0.982
