"","scale","interval_score","dispersion","underprediction","overprediction","coverage_deviation","bias","ae_median","coverage_50","coverage_95"
"1","log",0.12,0.041,0.066,0.014,0.306,-0.109,0.2,0.863,0.981
"2","natural",0.431,0.132,0.262,0.036,0.306,-0.109,0.708,0.863,0.981
